tFirst,tSecond,type
2012-01-06 23:14:39,2012-01-07 11:45:27,2
2012-01-07 11:45:27,2012-01-07 23:15:02,1
2012-01-07 23:15:02,2012-01-08 11:44:57,2
2012-01-08 11:44:57,2012-01-08 23:17:41,1
2012-01-08 23:17:41,2012-01-09 11:43:01,2
2012-01-09 11:43:01,2012-01-09 23:17:41,1
2012-01-09 23:17:41,2012-01-10 11:45:41,2
2012-01-10 11:45:41,2012-01-10 23:16:11,1
2012-01-10 23:16:11,2012-01-11 11:45:17,2
2012-01-11 11:45:17,2012-01-11 23:14:10,1
2012-01-11 23:14:10,2012-01-12 11:44:10,2
2012-01-12 11:44:10,2012-01-12 23:17:10,1
2012-01-12 23:17:10,2012-01-13 11:45:22,2
2012-01-13 11:45:22,2012-01-13 23:12:27,1
2012-01-13 23:12:27,2012-01-14 11:44:09,2
2012-01-14 11:44:09,2012-01-14 23:14:24,1
2012-01-14 23:14:24,2012-01-15 11:45:39,2
2012-01-15 11:45:39,2012-01-15 23:22:24,1
2012-01-15 23:22:24,2012-01-16 11:45:09,2
2012-01-16 11:45:09,2012-01-16 23:24:23,1
2012-01-16 23:24:23,2012-01-17 11:44:08,2
2012-01-17 11:44:08,2012-01-17 23:23:38,1
2012-01-17 23:23:38,2012-01-18 11:43:38,2
2012-01-18 11:43:38,2012-01-18 23:23:23,1
2012-01-18 23:23:23,2012-01-19 11:45:52,2
2012-01-19 11:45:52,2012-01-19 23:26:07,1
2012-01-19 23:26:07,2012-01-20 11:44:57,2
2012-01-20 11:44:57,2012-01-20 23:28:07,1
2012-01-20 23:28:07,2012-01-21 11:44:52,2
2012-01-21 11:44:52,2012-01-21 23:24:06,1
2012-01-21 23:24:06,2012-01-22 11:42:56,2
2012-01-22 11:42:56,2012-01-22 23:26:06,1
2012-01-22 23:26:06,2012-01-23 11:42:56,2
2012-01-23 11:42:56,2012-01-23 23:28:00,1
2012-01-23 23:28:00,2012-01-24 11:45:01,2
2012-01-24 11:45:01,2012-01-24 23:26:05,1
2012-01-24 23:26:05,2012-01-25 11:44:50,2
2012-01-25 11:44:50,2012-01-25 23:28:05,1
2012-01-25 23:28:05,2012-01-26 11:41:35,2
2012-01-26 11:41:35,2012-01-26 23:29:05,1
2012-01-26 23:29:05,2012-01-27 11:44:14,2
2012-01-27 11:44:14,2012-01-27 23:26:26,1
2012-01-27 23:26:26,2012-01-28 11:44:14,2
2012-01-28 11:44:14,2012-01-28 23:29:49,1
2012-01-28 23:29:49,2012-01-29 11:43:49,2
2012-01-29 11:43:49,2012-01-29 23:30:53,1
2012-01-29 23:30:53,2012-01-30 11:42:48,2
2012-01-30 11:42:48,2012-01-30 23:36:13,1
2012-01-30 23:36:13,2012-01-31 11:44:53,2
2012-01-31 11:44:53,2012-01-31 23:30:53,1
2012-01-31 23:30:53,2012-02-01 11:40:02,2
2012-02-01 11:40:02,2012-02-01 23:28:17,1
2012-02-01 23:28:17,2012-02-02 11:41:32,2
2012-02-02 11:41:32,2012-02-02 23:28:12,1
2012-02-02 23:28:12,2012-02-03 11:44:12,2
2012-02-03 11:44:12,2012-02-03 23:30:12,1
2012-02-03 23:30:12,2012-02-04 11:42:11,2
2012-02-04 11:42:11,2012-02-04 23:30:16,1
2012-02-04 23:30:16,2012-02-05 11:45:16,2
2012-02-05 11:45:16,2012-02-05 23:32:01,1
2012-02-05 23:32:01,2012-02-06 11:42:51,2
2012-02-06 11:42:51,2012-02-06 23:34:04,1
2012-02-06 23:34:04,2012-02-07 11:41:30,2
2012-02-07 11:41:30,2012-02-07 23:32:50,1
2012-02-07 23:32:50,2012-02-08 11:45:06,2
2012-02-08 11:45:06,2012-02-08 23:31:45,1
2012-02-08 23:31:45,2012-02-09 11:36:49,2
2012-02-09 11:36:49,2012-02-09 23:34:17,1
2012-02-09 23:34:17,2012-02-10 11:38:59,2
2012-02-10 11:38:59,2012-02-10 23:36:22,1
2012-02-10 23:36:22,2012-02-11 11:38:59,2
2012-02-11 11:38:59,2012-02-11 23:43:14,1
2012-02-11 23:43:14,2012-02-12 11:35:28,2
2012-02-12 11:35:28,2012-02-12 23:42:13,1
2012-02-12 23:42:13,2012-02-13 11:34:48,2
2012-02-13 11:34:48,2012-02-13 23:43:28,1
2012-02-13 23:43:28,2012-02-14 11:33:58,2
2012-02-14 11:33:58,2012-02-14 23:41:12,1
2012-02-14 23:41:12,2012-02-15 11:33:57,2
2012-02-15 11:33:57,2012-02-15 23:43:27,1
2012-02-15 23:43:27,2012-02-16 11:32:57,2
2012-02-16 11:32:57,2012-02-16 23:44:22,1
2012-02-16 23:44:22,2012-02-17 11:32:06,2
2012-02-17 11:32:06,2012-02-17 23:40:18,1
2012-02-17 23:40:18,2012-02-18 11:36:46,2
2012-02-18 11:36:46,2012-02-18 23:43:41,1
2012-02-18 23:43:41,2012-02-19 11:31:56,2
