datetime,light
2011-07-09 09:27:51,26
2011-07-09 09:29:51,36
2011-07-09 09:31:51,56
2011-07-09 09:33:51,64
2011-07-10 01:15:50,64
2011-07-10 01:17:50,58
2011-07-10 01:19:50,54
2011-07-10 01:21:50,32
2011-07-10 01:23:50,30
2011-07-10 01:25:50,22
2011-07-10 01:27:50,14
2011-07-10 01:29:50,7
2011-07-10 01:31:50,7
2011-07-10 01:33:50,4
2011-07-10 01:35:50,2
2011-07-10 01:37:50,0
2011-07-10 09:19:50,0
2011-07-10 09:21:50,2
2011-07-10 09:23:50,4
2011-07-10 09:25:50,7
2011-07-10 09:27:50,11
2011-07-10 09:29:50,13
2011-07-10 09:31:50,28
2011-07-10 09:33:50,36
2011-07-10 09:35:50,54
2011-07-10 09:37:50,64
2011-07-11 01:17:50,64
2011-07-11 01:19:50,50
2011-07-11 01:21:50,42
2011-07-11 01:23:50,28
2011-07-11 01:25:50,16
2011-07-11 01:27:50,11
2011-07-11 01:29:50,8
2011-07-11 01:31:50,5
2011-07-11 01:33:50,2
2011-07-11 01:35:50,1
2011-07-11 01:37:50,0
2011-07-11 09:17:50,0
2011-07-11 09:19:50,1
2011-07-11 09:21:50,2
2011-07-11 09:23:50,3
2011-07-11 09:25:50,4
2011-07-11 09:27:50,6
2011-07-11 09:29:50,9
2011-07-11 09:31:50,15
2011-07-11 09:33:50,22
2011-07-11 09:35:50,26
2011-07-11 09:37:50,44
2011-07-11 09:39:50,64
2011-07-12 01:15:50,64
2011-07-12 01:17:50,42
2011-07-12 01:19:50,32
2011-07-12 01:21:50,28
2011-07-12 01:23:50,22
2011-07-12 01:25:50,10
2011-07-12 01:27:50,8
2011-07-12 01:29:50,5
2011-07-12 01:31:50,3
2011-07-12 01:33:50,2
2011-07-12 01:35:50,0
2011-07-12 09:11:49,0
2011-07-12 09:13:49,2
2011-07-12 09:15:49,1
2011-07-12 09:17:49,5
2011-07-12 09:19:49,8
2011-07-12 09:21:49,15
2011-07-12 09:23:49,20
2011-07-12 09:25:49,32
2011-07-12 09:27:49,34
2011-07-12 09:29:49,46
2011-07-12 09:31:49,64
2011-07-13 01:11:49,64
2011-07-13 01:13:49,50
2011-07-13 01:15:49,32
2011-07-13 01:17:49,28
2011-07-13 01:19:49,18
2011-07-13 01:21:49,11
2011-07-13 01:23:49,9
2011-07-13 01:25:49,8
2011-07-13 01:27:49,6
2011-07-13 01:29:49,3
2011-07-13 01:31:49,1
2011-07-13 01:33:49,0
2011-07-13 09:17:49,0
2011-07-13 09:19:49,2
2011-07-13 09:21:49,1
2011-07-13 09:23:49,4
2011-07-13 09:25:49,6
2011-07-13 09:29:49,6
2011-07-13 09:31:49,7
2011-07-13 09:33:49,20
2011-07-13 09:35:49,30
2011-07-13 09:37:49,20
2011-07-13 09:39:49,64
2011-07-13 09:41:49,44
2011-07-13 09:43:49,64
2011-07-14 00:49:49,64
2011-07-14 00:51:49,54
2011-07-14 00:53:49,36
2011-07-14 00:55:49,24
2011-07-14 00:57:49,18
2011-07-14 00:59:49,13
2011-07-14 01:01:49,7
2011-07-14 01:03:49,3
2011-07-14 01:05:49,2
2011-07-14 01:07:49,0
2011-07-14 09:27:49,0
2011-07-14 09:29:49,1
2011-07-14 09:31:49,3
2011-07-14 09:33:49,1
2011-07-14 09:35:49,7
2011-07-14 09:37:49,9
2011-07-14 09:39:49,22
2011-07-14 09:41:49,30
2011-07-14 09:43:49,34
2011-07-14 09:45:49,52
2011-07-14 09:47:49,64
2011-07-15 00:53:48,64
2011-07-15 00:55:48,34
2011-07-15 00:57:48,26
2011-07-15 00:59:48,20
2011-07-15 01:01:48,16
2011-07-15 01:03:48,9
2011-07-15 01:05:48,6
2011-07-15 01:07:48,3
2011-07-15 01:09:48,2
2011-07-15 01:11:48,1
2011-07-15 01:13:48,0
2011-07-15 09:29:48,0
2011-07-15 09:31:48,1
2011-07-15 09:33:48,3
2011-07-15 09:35:48,5
2011-07-15 09:37:48,7
2011-07-15 09:39:48,12
2011-07-15 09:41:48,19
2011-07-15 09:43:48,20
2011-07-15 09:45:48,30
2011-07-15 09:47:48,52
2011-07-15 09:49:48,64
2011-07-16 00:53:48,64
2011-07-16 00:55:48,54
